"날짜","인도네시아 DAU","미국 DAU","브라질 DAU","필리핀 제도 DAU","멕시코 DAU","러시아 DAU","베트남 DAU","태국 DAU","말레이시아 DAU"
"2025-08-31","25088063","21009855","21693874","12568563","14238648","12234697","10154621","7020954","4013634"
"2025-09-01","21830477","20738029","16922028","11529582","11685193","11832340","10766392","7144042","3572022"
"2025-09-02","20792557","17044256","17161967","10495739","11667223","10853109","9798719","6690139","2906344"
"2025-09-03","19147025","16441992","16753332","9870930","10778538","10439984","8355641","6627405","2665176"
"2025-09-04","21606565","15584396","16287284","10190246","10427295","10213843","8211413","6302168","3156353"
"2025-09-05","24600305","16601456","17227705","11141553","10179126","11416176","7683940","7003525","4024007"
"2025-09-06","25201447","19949091","20951513","12610744","13228715","12770130","9008914","7846467","4026979"
"2025-09-07","23479763","20733361","21131205","11761007","13349511","11881484","8479169","7305472","3532091"
"2025-09-08","19520745","15722197","17917767","9973341","10446354","10994194","7120946","6738340","2737997"
"2025-09-09","19652177","15343143","17536634","9597668","11041963","10928830","6693242","6412114","2667452"
"2025-09-10","19011821","15146880","16447105","9803648","10528072","10814756","6499211","6616023","2961969"
"2025-09-11","18935837","14530558","16224848","9669012","9963791","11228514","6492795","6029008","2881109"
"2025-09-12","22194873","15670489","17474890","10793682","10811931","11712227","6816713","6911209","3257107"
"2025-09-13","24570483","20873580","21359932","12478026","13258900","12540051","8197842","7903931","4005351"
"2025-09-14","23201236","20896500","21239622","11894482","12833833","11929534","8475870","7151934","3860782"
"2025-09-15","18776044","16594292","16672398","9656435","12238755","11312554","6515509","7044641","3816323"
"2025-09-16","19560420","16117698","17248542","9457012","14731145","11391331","6291523","6200938","3865809"
"2025-09-17","19696614","15050428","15854679","9138961","10731330","11165455","6086553","5847121","3814659"
"2025-09-18","19282225","14106173","15983996","9407036","10101612","11169685","6067838","5877262","3812264"
"2025-09-19","21040689","15364840","16569228","10537357","10213241","12059849","7370563","6865597","3966361"
"2025-09-20","24343966","20939368","20960167","11744304","13137217","13207354","8286249","7184980","3884895"
"2025-09-21","23035098","20014739","21138970","11711922","12342852","12451368","7853115","7135563","3575546"
"2025-09-22","18758318","16175618","16362765","11441277","10327300","11367017","5913191","6361769","2748962"
"2025-09-23","19237772","15286148","16462706","10824448","10486330","11263262","5630226","5842586","2687819"
"2025-09-24","18495168","13868563","15828176","9883995","10866405","11121725","5662454","6292821","2330216"
"2025-09-25","18341396","14477041","15769823","10427000","10053367","10987697","7007320","6554250","2536730"
"2025-09-26","20974222","15423620","16656130","11597770","12165005","11668931","7671397","6463852","3013630"
"2025-09-27","23846957","19750052","21153796","12225422","14189023","13161159","8933204","7596870","3763223"
"2025-09-28","23544276","19047649","20583315","11303604","13710013","12379518","8683006","7438498","3507446"
"2025-09-29","18932410","15986249","16150778","9725207","11475784","11143383","6903041","6918174","2801692"
"2025-09-30","18649676","15817765","16471002","9290297","11456470","10885394","6940674","7154292","2686057"
"2025-10-01","18232515","15056277","15161250","8996186","9901518","10397188","7193635","6447361","2807993"
"2025-10-02","18667359","14957055","14962071","9258677","9837879","10636139","6495769","6212002","2759475"
"2025-10-03","20711026","15451289","16449400","10708147","9752385","11942844","6732000","6240591","3221745"
"2025-10-04","23618931","20395604","20146412","11323851","13482443","12944194","7788547","7522724","3653293"
"2025-10-05","22180931","19732784","20020215","10850425","13029778","12273844","8545318","7287884","3955324"
"2025-10-06","18023489","15233867","15567455","9324168","10814869","11043302","7471190","6890060","2875426"
"2025-10-07","17397257","15455352","15743242","8900242","10786980","11103943","7374971","6838542","2512276"
"2025-10-08","16659697","15078624","14553300","8977223","9615126","10497172","7902019","7194463","2654094"
"2025-10-09","17055360","14570168","14491869","9007779","9119456","10401965","7452193","7379817","2520185"
"2025-10-10","20283284","16195150","15925148","9704296","10358563","11449508","7608977","7292348","3049969"
"2025-10-11","22627943","20063866","19977161","10689242","13486800","12785791","8666633","7744825","3559813"
"2025-10-12","21298515","19948987","19577549","10818225","12931064","12086523","8217793","7763197","3374611"
"2025-10-13","16868216","17688076","16619550","9556720","10733705","10648746","6516051","7294867","2508817"
"2025-10-14","16642130","15768898","16635269","9172579","10469000","10379865","6785283","7246540","2534478"
"2025-10-15","16989870","15096357","16814467","9491451","9096815","10110093","5796968","7682079","2429393"
"2025-10-16","17456264","15115587","15460578","9262590","8700273","9897986","5843569","7137648","2335268"
"2025-10-17","20001138","15858627","16626404","9872329","9447813","10851502","7032242","7294452","3407941"
"2025-10-18","22173330","19712388","20095032","10940401","11901492","12461141","9021855","7324342","3958157"
"2025-10-19","21355418","19296181","19479167","10606824","11653831","11493888","8411503","7060078","4043910"
"2025-10-20","17510968","16796185","14656755","9328554","9189342","10711356","7212717","6826460","3966750"
"2025-10-21","17267826","14264349","14913240","8567771","9564671","10520858","6551701","6413155","3480604"
"2025-10-22","16735029","14818706","14415635","7928790","9442298","10197977","6166163","6030325","3299339"
"2025-10-23","17516455","13972868","14134808","8635972","8864591","10663744","6483661","6571819","2893069"
"2025-10-24","19922808","15590268","15337896","9463075","8948916","11622921","6954454","6511264","3117072"
"2025-10-25","22850176","19137565","19019664","10615803","12268530","12917776","8269971","6611897","3519439"
"2025-10-26","22712999","18834951","18678052","10844364","10972073","12333759","8425272","6180456","3441467"
"2025-10-27","17508496","14277221","15702002","10562808","8536767","11778745","6754162","6082774","2286316"
"2025-10-28","17944740","14288240","15078812","10584136","8742236","12140153","5805328","6914482","2224213"
"2025-10-29","16582977","13505312","14475648","10424641","8678403","11831150","5518551","6553584","2333550"
"2025-10-30","17304748","12917610","13917663","11015643","8935671","11879728","6036575","6306096","2571718"
"2025-10-31","19368755","13872856","15269150","11061263","9835298","11655007","6064134","6644615","3027171"
"2025-11-01","21966682","18020383","18914660","11736603","11752193","12668177","8268143","6885508","3278800"
"2025-11-02","21123681","17723763","18849001","10552884","10670341","12675925","8246886","6057716","3108273"
"2025-11-03","16868691","14055124","14518450","9270403","8881514","12338596","6354321","5890795","2674585"
"2025-11-04","16537902","14770084","14762936","8803111","8940118","11640707","6306312","5151902","2609856"
"2025-11-05","16425841","13666882","13854280","8367613","7955307","10749039","6050361","5697878","2474699"
"2025-11-06","16798095","12495791","13624995","8633272","8270142","10231968","6599858","4816463","2742266"
"2025-11-07","18600681","14126237","14628059","8789006","8416132","11070185","6615721","5438933","3152311"
"2025-11-08","21045292","18278865","18655137","10124519","11542901","12515813","8345639","6149423","3376679"
"2025-11-09","20783746","17685541","17308871","10038138","10617965","11379181","8128502","6170148","3212247"
"2025-11-10","16380209","14719723","13178444","9475067","8878747","10107819","5833062","5255062","2703105"
"2025-11-11","16288417","15677753","13906446","9098684","8846002","10010136","5226403","4829821","2561218"
"2025-11-12","16600935","13173693","12961864","7959332","8317041","9814981","5087407","4795593","2574492"
"2025-11-13","16274714","13318105","13402587","8379883","8440473","9799906","5577376","4955229","2544143"
"2025-11-14","18475199","13886649","14168353","9124703","9008019","10439329","6056159","5345941","2939944"
"2025-11-15","20656690","18705724","18031649","10009336","10867068","12505982","7975752","6976663","3372599"
"2025-11-16","20591980","18372963","17638199","10153984","11089689","11846837","8267573","6557417","3187344"
"2025-11-17","16062660","14163968","14140612","8253863","10822859","10882860","6435501","5420665","2734046"
"2025-11-18","16115306","14116605","14285905","8039396","9510797","10791101","5296501","5552522","2633049"
"2025-11-19","15934908","13768081","14598699","7797592","9021180","10575178","5946480","4978629","2470564"
"2025-11-20","16181236","14000066","17380774","7910701","8552173","10335048","7214184","5347784","2785376"
"2025-11-21","18186262","14409516","16604756","8803290","8219763","11405588","6513112","5544451","2991423"
"2025-11-22","20557595","17598053","18174722","9931193","11060585","12417336","8062206","6737989","3468367"
"2025-11-23","20250609","18945643","17648353","9857452","10947736","11711975","7696812","6432305","3523391"
"2025-11-24","16404867","16368618","14501535","8116030","8227595","10281581","6365354","5612083","2701432"
"2025-11-25","16947677","17261035","14295089","8299446","8417545","10017881","5899032","5592186","2907139"
"2025-11-26","15896940","17516435","13474870","7907116","8420035","10148847","6208100","5525113","2737749"
"2025-11-27","16142198","18851856","13620387","7694801","7323025","10013107","5858195","6084149","2730905"
"2025-11-28","17538951","19230037","14191783","8514402","9188345","11127993","6026601","5438754","3147821"
"2025-11-29","20303557","19180297","17164738","10177104","10573700","12338056","8292051","6179783","3689882"
"2025-11-30","19212268","18198433","17326975","9338682","10524009","11319532","7827643","6413051","3177714"
"2025-12-01","15532466","14734296","14427202","7977724","8527829","10457775","6177315","5845875","2751064"
"2025-12-02","16076682","15774326","14575198","7614435","8636356","10704810","6046433","5439083","2800851"
"2025-12-03","16262963","13880821","14998371","7408552","8363804","15008147","5591609","5710985","2768588"
"2025-12-04","17111778","13785282","14953413","7798341","7959093","12022919","5650639","6172254","2851721"
"2025-12-05","18667527","13909904","14971252","8422612","8761247","9882693","6749661","6684439","3375072"
"2025-12-06","20465902","18081862","17411713","10172898","10046972","10017847","8076740","6773460","3552628"
"2025-12-07","20522305","17790493","17871084","10415380","10065411","8438963","8136966","7001696","3461871"
"2025-12-08","18216461","14796483","15813898","9984714","8719732","6857168","6864849","5487858","2942363"
"2025-12-09","17957458","14425025","15811183","8544216","8498122","7014790","6508168","5659104","2924856"
"2025-12-10","18528410","14115714","15651814","8257529","8734010","6291424","6127724","5631102","3107989"
"2025-12-11","18460778","13734872","15861561","8129687","8400925","5749403","5919674","5000829","3391938"
"2025-12-12","19236063","14103339","16167368","8815663","9276636","6022307","6657028","5614864","3271485"
"2025-12-13","20968999","18429813","18145899","10053638","10192356","7421035","8141509","6841962","3815973"
"2025-12-14","21305295","18912159","17802754","9755036","9847596","6636762","8028295","6328215","3733233"
"2025-12-15","19358164","15320537","16698110","8231786","8334549","5696462","6496312","4956025","3310541"
"2025-12-16","19293538","14758200","16869789","8779383","8844621","5619436","5861495","5979119","3256966"
"2025-12-17","19883951","14387596","16864109","8511774","8869233","5137119","6361301","5539436","3462053"
"2025-12-18","20241494","14905646","16649954","9424715","10032754","6041802","6742055","5626502","3323159"
"2025-12-19","20697478","16702181","17530854","9813334","10652552","6027631","7422549","5782151","3698238"
"2025-12-20","21975382","19210696","18803308","10168814","10484428","6594445","8189273","6958227","3886729"
"2025-12-21","21886329","18516666","18043732","10758955","10236592","5999919","8141278","6661779","3859647"
"2025-12-22","20732926","18548724","17331654","10614362","10340161","4975384","6281853","5799051","3794024"
"2025-12-23","20472873","19207243","17547054","10726355","10344983","4589349","6782589","5958087","3457874"
"2025-12-24","21881503","19533122","17659327","11860317","10582336","4880075","7225011","5494713","3766854"
"2025-12-25","22989374","21377107","19847974","11395028","12191251","5301653","7353565","6352813","4035528"
"2025-12-26","23004584","18997430","17301490","11049814","10691402","5690274","7655868","6186468","3822052"
"2025-12-27","23260420","19369790","17915929","10851695","10495575","5807632","8484278","6528581","3639849"
"2025-12-28","22917313","19666567","17636123","11121096","10433872","5724479","9498354","6777026","3891682"
"2025-12-29","22529536","18344704","16912289","10938742","10587849","5165369","7505308","7157403","3785601"
"2025-12-30","22616635","18894558","16929763","11144365","10250921","5174491","8339609","6652704","3600826"
"2025-12-31","24451153","18121000","17181467","11207101","10708798","5439179","8831968","7581869","3747832"
"2026-01-01","22897216","19465785","18812390","11187572","11048792","5256388","9856255","7424083","3896528"
"2026-01-02","21945324","17516561","16434411","10784122","9541647","5104123","9771037","7440558","3733550"
"2026-01-03","23019539","18785335","17453325","10543962","9986530","5514038","9886012","7179664","3729305"
"2026-01-04","22201886","18641776","16963229","9727516","9646113","4955347","9312970","6830791","3688748"
"2026-01-05","20052837","14858372","16632277","8614511","9477475","4675846","7130819","6560634","3308801"
"2026-01-06","19374627","14083668","16826714","7906961","10064559","4930727","7369959","6738805","3549869"
"2026-01-07","18793709","12655676","16338735","7831486","9461021","4841010","7191279","6331234","3347472"
"2026-01-08","18362463","13013160","16039982","7484902","9226861","4620438","6935163","6051147","3655566"
"2026-01-09","20271208","13500163","15634437","8645862","9759143","4798151","6863555","6803411","3468275"
"2026-01-10","21543428","16965980","16806915","9574646","10110838","5349521","8640929","7227595","3453809"
"2026-01-11","20692989","16984220","16465895","9234527","9699602","4703512","8664792","7270032","3146986"
"2026-01-12","17195331","13547151","16162398","7624072","8636528","4195231","7457411","5868781","2282607"
"2026-01-13","16244608","13578969","17214875","7678928","8167415","3981668","7462693","5839462","2286106"
"2026-01-14","15821964","13134897","17049387","7603198","8129409","3725205","8360738","6074711","2278233"
"2026-01-15","17839796","12941949","17225486","7364007","7418077","3815335","6883824","6011390","2326106"
"2026-01-16","21081343","13789795","18199505","8593582","7501876","4232371","8469262","7176056","2884745"
"2026-01-17","20804411","17771129","18627231","9249708","9369006","4930288","9648528","7177581","3498325"
"2026-01-18","19596245","17336135","18163454","8709361","9657838","4333540","9000301","7042584","3420114"
"2026-01-19","16022313","17298434","17010008","7522391","8004013","3792318","6695010","6304199","2523858"
"2026-01-20","16087315","13709217","16868870","7216754","7534444","3882950","7519072","6397352","2490219"
"2026-01-21","16089835","13554374","16595027","7113641","7732927","3820924","7325634","6081582","2413071"
"2026-01-22","15996877","12773796","16391513","7423163","7391175","3589383","6512140","5750956","2401954"
"2026-01-23","17633215","13862814","16529050","7769588","7583226","4275605","6380361","5729726","2612967"
"2026-01-24","20233913","17548311","17718394","8893957","9891327","4961964","8282837","7089118","3232267"
"2026-01-25","20214824","17925333","17254561","8415183","10105115","4464571","8857478","7163364","2869549"
"2026-01-26","15848949","16010921","16240585","7102000","8477637","3591124","7073589","5615458","2224458"
"2026-01-27","15833367","14960204","15433223","6806035","8225466","3474227","7008002","5830517","2243418"
"2026-01-28","15380208","14997656","15744368","7032468","7762674","3471344","7160481","5445607","2427667"
"2026-01-29","16121739","14855741","14971948","6990431","8113518","3462889","6879546","5741265","2277444"
"2026-01-30","17473316","16022590","15762379","7826637","9366438","3936683","7602543","6109574","2819556"
"2026-01-31","19629488","19243838","16306161","8610614","9913284","4566520","8404155","7294139","3180517"
"2026-02-01","19789188","19332314","16835430","8144502","9828873","3999418","9206861","6854811","3358057"
"2026-02-02","15298289","15650475","14155212","7184970","9869705","3231367","7172850","5647116","3013746"
"2026-02-03","15355899","14552193","14460186","7284924","8319171","3044034","6918644","5805325","2339353"
"2026-02-04","14880759","14592270","14001720","6952022","8025679","3178603","6951244","5657202","2320953"
"2026-02-05","15193391","13368775","13234976","7299352","7521194","2907718","7334044","5855846","2263235"
"2026-02-06","16324121","14717109","13580466","8167739","7693930","3332799","7841985","6033509","2725936"
"2026-02-07","19105674","17779915","16316994","8875527","9432472","4031669","9069846","6712686","3348615"
"2026-02-08","18718300","18278891","16406742","8584437","8911774","3631426","9430840","6963529","3194377"
"2026-02-09","15153576","15030090","13050354","7289956","7778894","3090424","7039687","6045514","2445119"
"2026-02-10","14882202","13622617","12511961","7380299","7034697","3060784","8657538","5275284","2294821"
"2026-02-11","15307062","13367751","12253066","6871767","7009322","3198998","8643053","5139286","2329956"
"2026-02-12","15163787","12806339","12798136","6656705","6675800","2893171","8539074","5374870","2587802"
"2026-02-13","17156800","14762438","13370679","7717585","6960104","3311637","9702617","5860257","2966055"
"2026-02-14","19216466","18320589","16106805","8836984","8840905","4220594","9853021","6599737","3692470"
"2026-02-15","20033273","17520204","16080852","8438342","9107254","3862356","11640699","6584647","3816835"
"2026-02-16","20362650","16717793","15618132","8094550","7761344","3243729","10964765","5898087","4062291"
"2026-02-17","19812997","15128826","16575985","8714816","6718012","3178242","11027009","6121587","3939036"
"2026-02-18","19784170","14654141","14993802","7302781","6718907","3125360","10872163","5399626","3744143"
"2026-02-19","19427843","14129335","13112538","7522064","6515503","3216376","10738665","5857312","3732805"
"2026-02-20","19450644","14859132","13563364","8050533","7012008","3427729","10799815","5673487","3604636"
"2026-02-21","20081629","18154097","16092226","9051310","8811086","3948538","11411275","6579084","3841974"
"2026-02-22","19403367","17907399","15865304","8897226","9650386","3756940","9995140","6420067","3362464"
"2026-02-23","16692395","15866632","12486652","7969361","8291296","3576470","7563264","5425593","2689222"
"2026-02-24","16465019","14121951","11210335","8087837","7349469","3169714","7854126","5938765","2664414"
"2026-02-25","16661645","13128960","11108290","7909441","6934349","3287556","7058093","5698397","2660747"
"2026-02-26","16144781","13430228","10639213","7312285","6947321","2969291","7571579","5601541","2544219"
"2026-02-27","17774847","14821110","11792545","8279590","8169881","3139184","7656705","6542955","3335223"
"2026-02-28","18820470","18122068","15123541","9400661","8741264","3605087","8734813","7192660","3864371"
"2026-03-01","19072893","18234571","15568388","9166071","8620533","3566969","8559675","6766337","3419150"
"2026-03-02","16336500","14575910","11565859","7498780","6880380","2911569","6755311","6396140","2699899"
"2026-03-03","15996258","13603034","10706607","7378015","6340912","2644154","7123399","6784124","2669926"
"2026-03-04","15986824","14584430","10836550","7115008","6886258","3130109","6641641","6004215","2773806"
"2026-03-05","16115995","14806668","10298407","7215434","6463534","2866802","7082201","5971559","2741635"
"2026-03-06","17667258","16312280","11514415","8027197","6638932","3333476","7868059","6580974","3114664"
"2026-03-07","19149769","19656450","13894359","9188888","7861465","3836665","8614565","7279847","3493608"
"2026-03-08","19184665","19044412","14432620","9204772","8003701","3726014","9172403","6970179","3520388"
"2026-03-09","17262457","16623302","11019254","7552911","7036484","3302174","7434394","6409627","2778346"
"2026-03-10","17110289","15688001","10818939","7328952","6549622","2755104","7914999","6246990","2480925"
"2026-03-11","17036084","15456987","10795125","7530490","6339737","2769226","7632158","6120308","2611798"
"2026-03-12","17544129","15558783","10606299","7603200","6492180","2737617","7379805","6150798","2807604"
"2026-03-13","17751518","17058806","11295395","7896984","7337757","3021193","8599813","6497121","2932496"
"2026-03-14","19490478","20471557","14041375","8929632","8811362","3660694","9769560","6742168","3644701"
"2026-03-15","19587731","21633939","14200554","8887465","8721900","3332136","9546879","6873206","3614941"
"2026-03-16","18524585","19099906","10445595","7911743","8810364","2944455","7243749","6855686","2703581"
"2026-03-17","19347142","18234060","10229565","7983070","7163395","2908109","7536491","6593364","3149061"
"2026-03-18","19875541","16663642","10187320","8289008","6649780","2803272","7955209","6718037","3814026"
"2026-03-19","19649686","17530955","10258336","8754494","6421453","2922017","7698032","6705517","3896510"
"2026-03-20","19740592","18363949","11387756","9801318","6802085","3079177","8487145","6859062","4173431"
"2026-03-21","21093898","20910096","13681584","9448811","8372130","3989262","10471541","7484888","3870795"
"2026-03-22","20474969","20543559","14618194","9416278","9123912","3332034","10057360","7848847","3851884"
"2026-03-23","19213237","16890072","11061571","9377362","7299295","3064769","7362127","7262839","3892583"
"2026-03-24","18748922","16545852","10271496","9217188","6920944","2872440","7363182","8176711","3671649"
"2026-03-25","17936940","16341307","10256461","9236782","6991642","2810039","7309013","7807206","3709925"
"2026-03-26","17982685","16665845","9891802","9100932","7487306","3046599","7679444","7690330","3666091"
"2026-03-27","18815759","17683659","10804442","9605731","7981528","3240506","8023451","7464443","3619829"
"2026-03-28","19628704","21165907","14037763","9736232","8440756","3688235","10158443","8104462","3636051"
"2026-03-29","19200480","20668308","14098619","9588876","9092013","3621533","9993585","8239936","3363923"
"2026-03-30","16081115","17506235","10622962","9625570","9080406","3322589","8678790","7853827","2641834"
"2026-03-31","15143394","17057243","10389853","9460104","9182601","3259344","8153489","7504186","2592201"
"2026-04-01","14376597","17919318","11214005","10107292","8541450","3398851","8124331","7754035","2594319"
"2026-04-02","15683707","17653964","12649185","10405089","8963531","3130532","7864475","8161058","2960112"
"2026-04-03","17819874","19766940","14554799","10307297","8748011","3379953","8915598","7907338","3050610"
"2026-04-04","17982975","21261114","14780914","10599011","9503213","3744548","9615532","8279942","3609270"
"2026-04-05","17221691","21658822","15146994","10291354","9573543","3393280","10386030","7447203","3303551"
"2026-04-06","14678273","17828277","10701794","10049045","9044959","2933868","8092604","7269603","2373628"
"2026-04-07","14086222","16250148","10192272","10012131","8532683","2592869","7722512","7840720","2328022"
"2026-04-08","14205454","16225741","10207763","10214877","8184649","2604098","7088233","8209407","2465097"
"2026-04-09","14005928","15930223","10442315","10182191","8513513","2719878","7569601","8454649","2678503"
"2026-04-10","15661646","16481760","11596769","10478091","8389024","2760730","8052887","8339324","3034894"
"2026-04-11","17585118","19825598","13960554","10208331","9211739","3256418","9405939","8357419","3633440"
"2026-04-12","16777330","19697586","14714983","10470904","8188111","3107364","9332546","7847729","3518445"
"2026-04-13","13553414","15484618","10981919","10203394","7096183","2575667","7902962","7437248","2684920"
"2026-04-14","13372358","15140090","10285442","10352558","6735826","2748395","7470270","7391003","2473116"
"2026-04-15","13144847","15002755","10465418","10482948","6735284","2450573","7649515","8351680","2481447"
"2026-04-16","13290900","14679142","10598620","10341231","6526669","2550180","7454718","7801600","2628500"
"2026-04-17","15266020","15596033","11494400","10914529","6738786","2757753","8471186","8415814","3134935"
"2026-04-18","17274278","19433254","14413746","10981419","8256623","3133685","10211764","8424477","3815587"
"2026-04-19","16849320","19024432","14515601","10496970","8786987","3013560","10181503","8089472","3428424"
"2026-04-20","14048426","14490251","13554699","10727965","7129503","2628387","7933946","7858587","2506402"
"2026-04-21","14358194","14790274","14014701","10590231","6863531","2578374","7534489","8302705","2606839"
"2026-04-22","14111350","14567155","11233542","10756960","6178689","2453770","8209223","8331460","2456194"
"2026-04-23","14166509","14209653","11339685","10926803","6820269","2460410","7597176","8244553","2714366"
"2026-04-24","16378980","15153195","11511977","10805161","6713440","2648239","8362964","8569998","3371710"
"2026-04-25","17806684","19922897","14434530","10966804","7483565","3221042","10511371","7715778","3873820"
"2026-04-26","17236799","20343191","14528430","10946535","8057278","3213556","11466944","8345269","3709988"
"2026-04-27","14341364","15583782","10943701","10930189","7293329","2480736","9928660","8149159","2832539"
"2026-04-28","13689322","14815813","10752833","10747466","6464674","2597047","7645868","8010497","2554430"
"2026-04-29","13545160","14702184","10644226","10953456","6632089","2460887","8979130","8003817","2559722"
"2026-04-30","15860366","14769705","11245931","11049345","6593072","2714394","10610028","7930904","3054197"
